seed,stance,crossings,touches,catches,chains,resets,bad_bounces,wrong_hand,fell,steps,feet_off_steps,ball_apex_mean,pelvis_z_mean,max_abs_action,mean_dribble_period_s,policy,success
1000,1,56,58,54,52,2,2,0,0,1000,7,0.3981113097970448,0.592267780482769,0.9965866804122925,0.3141935483870968,trained,1
1001,1,46,50,43,39,6,5,1,0,1000,11,0.38995919410999,0.5916353156566619,0.997495174407959,0.30843750000000003,trained,1
1002,1,40,45,35,33,7,4,0,0,1000,1,0.38058944791555405,0.5831604483127594,0.9961302876472473,0.3088888888888889,trained,1
1003,1,46,53,44,39,4,7,0,0,1000,4,0.4015211412502873,0.5914419690370559,0.9987331628799438,0.32131147540983607,trained,1
1004,1,38,46,34,29,7,8,0,0,1000,11,0.38982632174156606,0.585937913954258,0.9972846508026123,0.31238095238095237,trained,1
1005,1,49,52,45,43,6,4,1,0,1000,23,0.3864470207781503,0.5963942533731461,0.9994819760322571,0.3018461538461539,trained,1
1006,1,39,42,32,30,8,4,1,0,1000,16,0.37415810278616846,0.5845454550981521,0.9992139339447021,0.30920634920634926,trained,1
1007,0,54,60,54,50,2,5,0,0,1000,3,0.3954565804156046,0.5908819072842598,0.9995530843734741,0.31322580645161285,trained,1
1008,0,41,49,39,36,3,10,2,0,1000,21,0.3886009847360944,0.5893702719807625,0.9994256496429443,0.3132258064516129,trained,1
1009,1,28,33,19,16,12,5,1,0,1000,11,0.3777384375150387,0.5865722643733025,0.9997873306274414,0.30625,trained,1
1010,0,37,46,34,29,5,9,1,0,1000,16,0.39061067485418477,0.5878485317826271,0.9996407628059387,0.3236666666666667,trained,1
1011,0,58,60,57,55,2,1,0,0,1000,12,0.39357929160961735,0.5988955101370812,0.9995673298835754,0.30625,trained,1
1000,1,0,1,0,0,2,1,0,1,75,0,0.38283984661102294,0.6329190111160279,0.0,0.295,neutral,0
1001,1,0,0,0,0,2,0,0,1,91,0,0.3779046356678009,0.6417606960941147,0.0,0.325,neutral,0
1002,1,0,0,0,0,3,0,0,1,105,0,0.36902362959725515,0.6434547429993039,0.0,0.2966666666666667,neutral,0
1003,1,0,0,0,0,2,0,0,1,99,0,0.4100143611431122,0.6441409003855002,0.0,0.34,neutral,0
1004,1,0,0,0,0,3,0,0,1,98,0,0.47044389247894286,0.6455021014018935,0.0,0.39,neutral,0
1005,1,0,0,0,0,2,0,0,1,71,0,0.31697945669293404,0.6384744526634754,0.0,0.3133333333333334,neutral,0
1006,1,0,0,0,0,3,0,0,1,118,0,0.4146934577396938,0.6468396510108042,0.0,0.34,neutral,0
1007,0,0,0,0,0,3,0,0,1,106,0,0.40782754123210907,0.6430024015453627,0.0,0.4066666666666667,neutral,0
1008,0,0,0,0,0,2,0,0,1,80,0,0.4031461849808693,0.6393790785223246,0.0,0.41333333333333333,neutral,0
1009,1,0,0,0,0,1,0,0,1,71,0,0.4521566828091939,0.6376383850272273,0.0,0.37,neutral,0
1010,0,0,0,0,0,3,0,0,1,109,0,0.39932863414287567,0.6472850031808975,0.0,0.352,neutral,0
1011,0,0,1,0,0,2,1,0,1,93,0,0.37845335006713865,0.6427698439808303,0.0,0.35500000000000004,neutral,0
