seed,stance,crossings,touches,catches,chains,resets,fell,steps,detection_rate,detection_rate_depth,detection_rate_colour,mean_detection_error_m,mean_estimate_error_m,mean_estimate_vel_error_mps,max_abs_action,cue_hand_mismatch,cue_expect_mismatch,cue_bounce_mismatch,policy,success
1000,1,51,54,49,46,6,0,1000,0.972,0.972,0.0,0.0028288560190877785,0.003388777467241273,0.3958912353386146,0.9974833130836487,0.105,0.007,0.01,trained,1
1001,1,41,49,38,35,7,0,1000,0.95,0.95,0.0,0.0027833705173934977,0.0067133070777046855,0.409943696753715,0.9995187520980835,0.073,0.006,0.013,trained,1
1002,1,42,49,40,36,7,0,1000,0.893,0.893,0.0,0.002768240489880152,0.026600955274480465,0.5424668083459728,0.9998310208320618,0.085,0.008,0.056,trained,1
1003,1,48,54,47,42,7,0,1000,0.981,0.981,0.0,0.0027972195388184713,0.0031268622648078148,0.40438268517817694,0.999116063117981,0.074,0.007,0.012,trained,1
1004,1,34,40,31,27,10,0,1000,0.963,0.963,0.0,0.002947356962937158,0.01195742950984841,0.45852613911347484,0.9979450106620789,0.149,0.002,0.008,trained,1
1005,1,35,46,34,27,10,0,1000,0.966,0.966,0.0,0.003057477523562611,0.005070852125115842,0.5025739259153366,0.9995999336242676,0.114,0.008,0.021,trained,1
1000,1,0,1,0,0,2,1,74,1.0,1.0,0.0,0.0032256554966722958,0.004172654370857494,0.7246663659168073,0.0,0.0,0.0,0.0,neutral,0
1001,1,0,0,0,0,4,1,94,0.9574468085106383,0.9574468085106383,0.0,0.003757515125121578,0.01257660526639862,0.9000979561168391,0.0,0.0,0.0,0.02127659574468085,neutral,0
1002,1,0,0,0,0,3,1,106,1.0,1.0,0.0,0.003365691601431129,0.004359136016709806,0.7707263944359978,0.0,0.0,0.0,0.0,neutral,0
1003,1,0,0,0,0,2,1,99,0.7878787878787878,0.7878787878787878,0.0,0.003182579348378552,0.017472118822996544,0.45971853424906606,0.0,0.0,0.0,0.0,neutral,0
1004,1,0,0,0,0,2,1,99,0.7878787878787878,0.7878787878787878,0.0,0.0034594406621445686,0.04936864455163471,0.6296704821674,0.0,0.0,0.0,0.020202020202020204,neutral,0
1005,1,0,0,0,0,2,1,71,0.8591549295774648,0.8591549295774648,0.0,0.004369903595176895,0.009008421916419715,1.306107827650855,0.0,0.0,0.0,0.014084507042253521,neutral,0
